tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,23411,0,live,SIRT1,"SIR2, SIR2L1, SIR2alpha",sirtuin 1,; NAD-dependent protein deacetylase sirtuin-1|SIR2-like protein 1|regulatory protein SIR2 homolog 1|sirtuin type 1,10q21.3,10,NC_000010.11,67884656,67918390,plus,11,604479
9606,Homo sapiens,154,0,live,ADRB2,"ADRB2R, ADRBR, B2AR, BAR, BETA2AR",adrenoceptor beta 2,"; beta-2 adrenergic receptor|adrenergic, beta-2-, receptor, surface|adrenoceptor beta 2 surface|beta-2 adrenoceptor|beta-2 adrenoreceptor|catecholamine receptor",5q32,5,NC_000005.10,148826593,148828634,plus,1,109690
9606,Homo sapiens,6647,0,live,SOD1,"ALS, ALS1, HEL-S-44, IPOA, SOD, STAHP, hSod1, homodimer",superoxide dismutase 1,"; superoxide dismutase [Cu-Zn]|Cu/Zn superoxide dismutase|SOD, soluble|epididymis secretory protein Li 44|indophenoloxidase A|superoxide dismutase 1, soluble|superoxide dismutase, cystolic",21q22.11,21,NC_000021.9,31659622,31668931,plus,5,147450
9606,Homo sapiens,3162,0,live,HMOX1,"HMOX1D, HO-1, HSP32, bK286B10",heme oxygenase 1,"; heme oxygenase 1|heat shock protein, 32-kD|heme oxygenase (decycling) 1",22q12.3,22,NC_000022.11,35381096,35394207,plus,5,141250
9606,Homo sapiens,3350,0,live,HTR1A,"5-HT-1A, 5-HT1A, 5HT1a, ADRB2RL1, ADRBRL1, G-21, PFMCD",5-hydroxytryptamine receptor 1A,"; 5-hydroxytryptamine receptor 1A|5-HT1a receptor|5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled|guanine nucleotide-binding regulatory protein-coupled receptor",5q12.3,5,NC_000005.10,63960048,63962292,minus,1,109760
9606,Homo sapiens,11178,0,live,LZTS1,"F37, FEZ1",leucine zipper tumor suppressor 1,"; leucine zipper putative tumor suppressor 1|F37/Esophageal cancer-related gene-coding leucine-zipper motif|leucine zipper, putative tumor suppressor 1",8p21.3,8,NC_000008.11,20246165,20303963,minus,8,606551
9606,Homo sapiens,3119,0,live,HLA-DQB1,"CELIAC1, HLA-DQB, IDDM1","major histocompatibility complex, class II, DQ beta 1","; HLA class II histocompatibility antigen, DQ beta 1 chain|MHC class II DQ beta chain|MHC class II HLA-DQ beta glycoprotein|MHC class II antigen DQB1|MHC class II antigen HLA-DQ-beta-1",6p21.32,6,NC_000006.12,32659467,32666657,minus,6,604305
9606,Homo sapiens,4851,0,live,NOTCH1,"AOS5, AOVD1, TAN1, hN1",notch receptor 1,"; neurogenic locus notch homolog protein 1|Notch homolog 1, translocation-associated|notch 1|translocation-associated notch protein TAN-1",9q34.3,9,NC_000009.12,136494433,136546048,minus,34,190198
9606,Homo sapiens,6387,0,live,CXCL12,"IRH, PBSF, SCYB12, SDF1, TLSF, TPAR1",C-X-C motif chemokine ligand 12,; stromal cell-derived factor 1|chemokine (C-X-C motif) ligand 12|intercrine reduced in hepatomas|pre-B cell growth-stimulating factor,10q11.21,10,NC_000010.11,44292088,44385097,minus,9,600835
9606,Homo sapiens,120892,0,live,LRRK2,"AURA17, DARDARIN, PARK8, RIPK7, ROCO2",leucine rich repeat kinase 2,; leucine-rich repeat serine/threonine-protein kinase 2|augmented in rheumatoid arthritis 17,12q12,12,NC_000012.12,40224890,40369285,plus,54,609007
9606,Homo sapiens,406991,0,live,MIR21,"MIRN21, hsa-mir-21, miR-21, miRNA21",microRNA 21,,17q23.1,17,NC_000017.11,59841266,59841337,plus,1,611020
9606,Homo sapiens,1385,0,live,CREB1,"CREB, CREB-1",cAMP responsive element binding protein 1,"; cyclic AMP-responsive element-binding protein 1|active transcription factor CREB|cAMP-response element-binding protein-1|cyclic adenosine 3',5'-monophosphate response element binding protein|cyclic adenosine 3',5'-monophosphate response element-binding protein CREB|transactivator protein",2q33.3,2,NC_000002.12,207529943,207605988,plus,13,123810
9606,Homo sapiens,79068,0,live,FTO,"ALKBH9, BMIQ14, GDFD",FTO alpha-ketoglutarate dependent dioxygenase,; alpha-ketoglutarate-dependent dioxygenase FTO|AlkB homolog 9|U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO|U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO|fat mass and obesity associated|fat mass and obesity-associated protein|m6A(m)-demethylase FTO|mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO|mRNA N(6)-methyladenosine demethylase FTO|tRNA N1-methyl adenine demethylase FTO,16q12.2,16,NC_000016.10,53703963,54121941,plus,16,610966
9606,Homo sapiens,185,0,live,AGTR1,"AG2SB, AT1, AT1AR, AT1B, AT1BR, AT1R, AT2R1, HAT1R, AGTR1",angiotensin II receptor type 1,; type-1 angiotensin II receptor|type-1B angiotensin II receptor,3q24,3,NC_000003.12,148697871,148743003,plus,5,106165
9606,Homo sapiens,1557,0,live,CYP2C19,"CPCJ, CYP2C, CYPIIC17, CYPIIC19, P450C2C, P450IIC19",cytochrome P450 family 2 subfamily C member 19,"; cytochrome P450 2C19|(R)-limonene 6-monooxygenase|(S)-limonene 6-monooxygenase|(S)-limonene 7-monooxygenase|S-mephenytoin 4-hydroxylase|cytochrome P-450 II C|cytochrome P450, family 2, subfamily C, polypeptide 19|cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 19|cytochrome P450-11A|cytochrome P450-254C|fenbendazole monooxygenase (4'-hydroxylating)|flavoprotein-linked monooxygenase|mephenytoin 4'-hydroxylase|mephenytoin 4-hydroxylase|microsomal monooxygenase|xenobiotic monooxygenase",10q23.33,10,NC_000010.11,94762681,94855547,plus,9,124020
9606,Homo sapiens,355,0,live,FAS,"ALPS1A, APO-1, APT1, CD951, FASTM, TNFRSF6, FAS",Fas cell surface death receptor,"; tumor necrosis factor receptor superfamily member 6|APO-1 cell surface antigen|CD95 antigen|FASLG receptor|Fas (TNF receptor superfamily, member 6)|Fas AMA|TNF receptor superfamily member 6|apoptosis antigen 1|apoptosis signaling receptor FAS|apoptosis-mediating surface antigen FAS|mutant tumor necrosis receptor superfamily member 6|tumor necrosis factor receptor superfamily, member 6",10q23.31,10,NC_000010.11,88968429,89017059,plus,15,134637
9606,Homo sapiens,2784,0,live,GNB3,CSNB1H,G protein subunit beta 3,"; guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3|G protein, beta-3 subunit|GTP-binding regulatory protein beta-3 chain|guanine nucleotide binding protein (G protein), beta polypeptide 3|guanine nucleotide-binding protein G(I)/G(S)/G(T) beta subunit 3|hypertension associated protein|transducin beta chain 3",12p13.31,12,NC_000012.12,6840922,6847393,plus,10,139130
9606,Homo sapiens,3383,0,live,ICAM1,"BB2, CD54, P3.58",intercellular adhesion molecule 1,"; intercellular adhesion molecule 1|ICAM-1|cell surface glycoprotein P3.58|epididymis secretory sperm binding protein|intercellular adhesion molecule 1 (CD54), human rhinovirus receptor|major group rhinovirus receptor",19p13.2,19,NC_000019.10,10271120,10286615,plus,7,147840
9606,Homo sapiens,1815,0,live,DRD4,D4DR,dopamine receptor D4,; D(4) dopamine receptor|D(2C) dopamine receptor|dopamine D4 receptor|seven transmembrane helix receptor,11p15.5,11,NC_000011.10,637269,640706,plus,4,126452
9606,Homo sapiens,2100,0,live,ESR2,"ER-BETA, ESR-BETA, ESRB, ESTRB, Erb, NR3A2, ODG8",estrogen receptor 2,"; estrogen receptor beta|estrogen receptor beta 4|estrogen receptor beta splice variant, ERbeta2delta7|estrogen receptor beta splice variant, ERbeta4delta7|estrogen receptor beta splice variant, ERbeta6|estrogen receptor beta splice variant, ERbeta6delta7|estrogen receptor beta splice variant, ERbeta7|estrogen receptor beta splice variant, ERbeta7delta7|estrogen receptor beta splice variant, ERbetaEx. 4L|estrogen receptor beta splice variant, ERbetaEx. 6L|nuclear receptor subfamily 3 group A member 2|oestrogen receptor beta",14q23.2-q23.3,14,NC_000014.9,64226707,64338631,minus,18,601663
9606,Homo sapiens,5027,0,live,P2RX7,P2X7,purinergic receptor P2X 7,"; P2X purinoceptor 7|ATP receptor|P2X7 receptor|P2Z receptor|purinergic receptor P2X, ligand gated ion channel, 7|purinergic receptor P2X7 variant A|purnergic receptor P2X 7",12q24.31,12,NC_000012.12,121132819,121188032,plus,14,602566
9606,Homo sapiens,5621,0,live,PRNP,"ASCR, AltPrP, CD230, CJD, GSS, KURU, PRIP, PrP, PrP27-30, PrP33-35C, PrPc, p27-30",prion protein,; major prion protein|alternative prion protein|CD230 antigen|prion-related protein,20p13,20,NC_000020.11,4686456,4701588,plus,2,176640
9606,Homo sapiens,6648,0,live,SOD2,"IPO-B, IPOB, MNSOD, MVCD6, Mn-SOD",superoxide dismutase 2,"; superoxide dismutase [Mn], mitochondrial|Mn superoxide dismutase|epididymis secretory sperm binding protein|indophenoloxidase B|manganese-containing superoxide dismutase|mangano-superoxide dismutase|superoxide dismutase 2, mitochondrial",6q25.3,6,NC_000006.12,159669069,159762281,minus,10,147460
9606,Homo sapiens,1268,0,live,CNR1,"CANN6, CB-R, CB1, CB1A, CB1K5, CB1R, CNR",cannabinoid receptor 1,; cannabinoid receptor 1|cannabinoid receptor 1 (brain)|central cannabinoid receptor,6q15,6,NC_000006.12,88139864,88167349,minus,8,114610
9606,Homo sapiens,183,0,live,AGT,"ANHU, SERPINA8, hFLT1",angiotensinogen,"; angiotensinogen|alpha-1 antiproteinase, antitrypsin|angiotensin I|angiotensin II|fetal-liver predominant transporter 1|pre-angiotensinogen|serine (or cysteine) proteinase inhibitor|serpin A8|serpin peptidase inhibitor, clade A, member 8",1q42.2,1,NC_000001.11,230702523,230714122,minus,5,106150
9606,Homo sapiens,7490,0,live,WT1,"AWT1, GUD, NPHS4, WAGR, WIT-2, WT33",WT1 transcription factor,; Wilms tumor protein|Wilms tumor 1,11p13,11,NC_000011.10,32387775,32435539,minus,12,607102
9606,Homo sapiens,3480,0,live,IGF1R,"CD221, IGFIR, IGFR, JTK13",insulin like growth factor 1 receptor,; insulin-like growth factor 1 receptor|IGF-I receptor|soluble IGF1R variant 1|soluble IGF1R variant 2,15q26.3,15,NC_000015.10,98648539,98964530,plus,26,147370
9606,Homo sapiens,2289,0,live,FKBP5,"AIG61, FKBP54, P54, PPIase, Ptg-10, FKBP5",FKBP prolyl isomerase 5,; peptidyl-prolyl cis-trans isomerase FKBP5|51 kDa FK506-binding protein|51 kDa FKBP|54 kDa progesterone receptor-associated immunophilin|FF1 antigen|FK506 binding protein 5|FKBP-51|HSP90-binding immunophilin|PPIase FKBP5|T-cell FK506-binding protein|androgen-regulated protein 6|peptidylprolyl cis-trans isomerase|rotamase,6p21.31,6,NC_000006.12,35573585,35728583,minus,13,602623
9606,Homo sapiens,121278,0,live,TPH2,"ADHD7, NTPH",tryptophan hydroxylase 2,; tryptophan 5-hydroxylase 2|neuronal tryptophan hydroxylase|tryptophan 5-monooxygenase 2,12q21.1,12,NC_000012.12,71938845,72032440,plus,13,607478
9606,Homo sapiens,3552,0,live,IL1A,"IL-1 alpha, IL-1A, IL1, IL1-ALPHA, IL1F1",interleukin 1 alpha,; interleukin-1 alpha|hematopoietin-1|preinterleukin 1 alpha|pro-interleukin-1-alpha,2q14.1,2,NC_000002.12,112773925,112784493,minus,8,147760
9606,Homo sapiens,4988,0,live,OPRM1,"LMOR, M-OR-1, MOP, MOR, MOR1, OPRM",opioid receptor mu 1,; mu-type opioid receptor|mu opiate receptor|mu opioid receptor hMOR-1a,6q25.2,6,NC_000006.12,154010496,154246867,plus,17,600018
9606,Homo sapiens,7276,0,live,TTR,"ATTR, CTS, CTS1, HEL111, HsT2651, PALB, TBPA",transthyretin,"; transthyretin|epididymis luminal protein 111|prealbumin, amyloidosis type I|thyroxine-binding prealbumin",18q12.1,18,NC_000018.10,31591767,31599024,plus,4,176300
9606,Homo sapiens,5747,0,live,PTK2,"FADK, FAK, FAK1, FRNK, PPP1R71, p125FAK, pp125FAK",protein tyrosine kinase 2,; focal adhesion kinase 1|FADK 1|FAK-related non-kinase polypeptide|PTK2 protein tyrosine kinase 2|focal adhesion kinase isoform FAK-Del33|focal adhesion kinase-related nonkinase|protein phosphatase 1 regulatory subunit 71,8q24.3,8,NC_000008.11,140657900,141002079,minus,44,600758
9606,Homo sapiens,4282,0,live,MIF,"GIF, GLIF, MMIF",macrophage migration inhibitory factor,; macrophage migration inhibitory factor|L-dopachrome isomerase|L-dopachrome tautomerase|epididymis secretory sperm binding protein|macrophage migration inhibitory factor (glycosylation-inhibiting factor)|phenylpyruvate tautomerase,22q11.23,22,NC_000022.11,23894383,23895223,plus,3,153620
9606,Homo sapiens,4843,0,live,NOS2,"HEP-NOS, INOS, NOSA, NOS2",nitric oxide synthase 2,"; nitric oxide synthase, inducible|NOS, type II|hepatocyte NOS|inducible NO synthase|inducible NOS|nitric oxide synthase 2, inducible|nitric oxide synthase 2A (inducible, hepatocytes)|nitric oxide synthase, macrophage|peptidyl-cysteine S-nitrosylase NOS2",17q11.2,17,NC_000017.11,27756766,27800529,minus,27,163730
9606,Homo sapiens,1394,0,live,CRHR1,"CRF-R, CRF-R-1, CRF-R1, CRF1, CRFR-1, CRFR1, CRH-R-1, CRH-R1, CRHRL, CRHR1",corticotropin releasing hormone receptor 1,; corticotropin-releasing factor receptor 1|CRH receptor 1|corticotropin-releasing factor type 1 receptor|seven transmembrane helix receptor,17q21.31,17,NC_000017.11,45784280,45835828,plus,14,122561
9606,Homo sapiens,3557,0,live,IL1RN,"DIRA, ICIL-1RA, IL-1RN, IL-1ra, IL-1ra3, IL1F3, IL1RA, IRAP, MVCD4",interleukin 1 receptor antagonist,; interleukin-1 receptor antagonist protein|IL1 inhibitor|intracellular IL-1 receptor antagonist type II|intracellular interleukin-1 receptor antagonist (icIL-1ra)|type II interleukin-1 receptor antagonist,2q14.1,2,NC_000002.12,113099365,113134016,plus,11,147679
9606,Homo sapiens,324,0,live,APC,"BTPS2, DP2, DP2.5, DP3, GS, PPP1R46",APC regulator of WNT signaling pathway,"; adenomatous polyposis coli protein|APC, WNT signaling pathway regulator|WNT signaling pathway regulator|adenomatosis polyposis coli tumor suppressor|adenomatous polyposis coli (APC)|deleted in polyposis 2.5|epididymis secretory sperm binding protein|protein phosphatase 1, regulatory subunit 46|truncated adenomatosis polyposis coli",5q22.2,5,NC_000005.10,112707498,112846239,plus,20,611731
9606,Homo sapiens,3620,0,live,IDO1,"IDO, IDO-1, INDO","indoleamine 2,3-dioxygenase 1","; indoleamine 2,3-dioxygenase 1|indolamine 2,3 dioxygenase|indole 2,3-dioxygenase|indoleamine-pyrrole 2,3-dioxygenase",8p11.21,8,NC_000008.11,39913891,39928790,plus,10,147435
9606,Homo sapiens,3934,0,live,LCN2,"24p3, MSFI, NGAL, p25",lipocalin 2,; neutrophil gelatinase-associated lipocalin|25 kDa alpha-2-microglobulin-related subunit of MMP-9|migration-stimulating factor inhibitor|oncogene 24p3|siderocalin LCN2,9q34.11,9,NC_000009.12,128149453,128153453,plus,7,600181
9606,Homo sapiens,6285,0,live,S100B,"NEF, S100, S100-B, S100beta",S100 calcium binding protein B,"; protein S100-B|S-100 calcium-binding protein, beta chain|S-100 protein subunit beta|S100 calcium-binding protein, beta (neural)",21q22.3,21,NC_000021.9,46598604,46605243,minus,3,176990
9606,Homo sapiens,5663,0,live,PSEN1,"ACNINV3, AD3, FAD, PS-1, PS1, S182",presenilin 1,; presenilin-1|presenilin-1 isoform I-467,14q24.2,14,NC_000014.9,73136436,73223691,plus,14,104311
9606,Homo sapiens,1950,0,live,EGF,"HOMG4, URG",epidermal growth factor,; pro-epidermal growth factor|beta-urogastrone,4q25,4,NC_000004.12,109912883,110013766,plus,26,131530
9606,Homo sapiens,5071,0,live,PRKN,"AR-JP, LPRS2, PARK2, PDJ",parkin RBR E3 ubiquitin protein ligase,"; E3 ubiquitin-protein ligase parkin|Parkinson disease (autosomal recessive, juvenile) 2, parkin|parkinson juvenile disease protein 2|parkinson protein 2 E3 ubiquitin protein ligase|parkinson protein 2, E3 ubiquitin protein ligase (parkin)",6q26,6,NC_000006.12,161347417,162727802,minus,14,602544
9606,Homo sapiens,1277,0,live,COL1A1,"EDSARTH1, EDSC, OI1, OI2, OI3, OI4",collagen type I alpha 1 chain,"; collagen alpha-1(I) chain|alpha-1 type I collagen|alpha1(I) procollagen|collagen alpha 1 chain type I|collagen alpha-1(I) chain preproprotein|collagen of skin, tendon and bone, alpha-1 chain|collagen, type I, alpha 1|pro-alpha-1 collagen type 1|type I proalpha 1|type I procollagen alpha 1 chain",17q21.33,17,NC_000017.11,50184096,50201649,minus,51,120150
9606,Homo sapiens,2697,0,live,GJA1,"AVSD3, CMDR, CX43, EKVP, EKVP3, GJAL, HLHS1, HSS, ODDD, PPKCA",gap junction protein alpha 1,"; gap junction alpha-1 protein|connexin-43|gap junction 43 kDa heart protein|gap junction protein, alpha 1, 43kDa",6q22.31,6,NC_000006.12,121435646,121449727,plus,2,121014
9606,Homo sapiens,9450,0,live,LY86,"MD-1, MD1, MMD-1, dJ80N2.1",lymphocyte antigen 86,"; lymphocyte antigen 86|MD-1, RP105-associated|ly-86|protein MD-1",6p25.1,6,NC_000006.12,6588639,6654982,plus,5,605241
9606,Homo sapiens,6772,0,live,STAT1,"CANDF7, IMD31A, IMD31B, IMD31C, ISGF-3, STAT91",signal transducer and activator of transcription 1,"; signal transducer and activator of transcription 1-alpha/beta|signal transducer and activator of transcription 1, 91kD|signal transducer and activator of transcription 1, 91kDa|transcription factor ISGF-3 components p91/p84",2q32.2,2,NC_000002.12,190968989,191014250,minus,26,600555
9606,Homo sapiens,6530,0,live,SLC6A2,"NAT1, NET, NET1, SLC6A5",solute carrier family 6 member 2,"; sodium-dependent noradrenaline transporter|neurotransmitter transporter|norepinephrine transporter|solute carrier family 6 (neurotransmitter transporter), member 2|solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2|solute carrier family 6 member 5",16q12.2,16,NC_000016.10,55655928,55706192,plus,18,163970
9606,Homo sapiens,1803,0,live,DPP4,"ADABP, ADCP2, CD26, DPPIV, TP103",dipeptidyl peptidase 4,"; dipeptidyl peptidase 4|ADCP-2|DPP IV|T-cell activation antigen CD26|adenosine deaminase complexing protein 2|dipeptidyl peptidase IV|dipeptidylpeptidase 4|dipeptidylpeptidase IV (CD26, adenosine deaminase complexing protein 2)",2q24.2,2,NC_000002.12,161992241,162074215,minus,26,102720
9606,Homo sapiens,9456,0,live,HOMER1,"HOMERA, HOMER1B, HOMER1C, SYN47, Ves-1, HOMER1",homer scaffold protein 1,"; homer protein homolog 1|homer homolog 1|homer scaffolding protein 1|homer, neuronal immediate early gene, 1|homer-1",5q14.1,5,NC_000005.10,79372636,79514134,minus,10,604798
9606,Homo sapiens,3084,0,live,NRG1,"ARIA, GGF, GGF2, HGL, HRG, HRG1, HRGA, MST131, MSTP131, NDF-IT2, SMDF, NRG1",neuregulin 1,"; pro-neuregulin-1, membrane-bound isoform|acetylcholine receptor-inducing activity|glial growth factor 2|heregulin, alpha (45kD, ERBB2 p185-activator)|neu differentiation factor|pro-NRG1|sensory and motor neuron derived factor",8p12,8,NC_000008.11,31639245,32774046,plus,19,142445
9606,Homo sapiens,10413,0,live,YAP1,"COB1, YAP, YAP2, YAP65, YKI",Yes associated protein 1,; transcriptional coactivator YAP1|65 kDa Yes-associated protein|protein yorkie homolog|yes-associated protein 1|yes-associated protein 2|yes-associated protein YAP65 homolog|yorkie homolog,11q22.1,11,NC_000011.10,102109957,102233424,plus,10,606608
9606,Homo sapiens,406938,0,live,MIR146A,"MIRN146, MIRN146A, miR-146a, miRNA146A",microRNA 146a,hsa-mir-146|hsa-mir-146a,5q33.3,5,NC_000005.10,160485352,160485450,plus,1,610566
9606,Homo sapiens,3558,0,live,IL2,"IL-2, TCGF, lymphokine",interleukin 2,; interleukin-2|T cell growth factor|aldesleukin|involved in regulation of T-cell clonal expansion,4q27,4,NC_000004.12,122449479,122456495,minus,5,147680
9606,Homo sapiens,25,0,live,ABL1,"ABL, BCR-ABL, CHDSKM, JTK7, bcr/abl, c-ABL, c-ABL1, p150, v-abl","ABL proto-oncogene 1, non-receptor tyrosine kinase","; tyrosine-protein kinase ABL1|ABL protooncogene 1 nonreceptor tyrosine kinase|Abelson tyrosine-protein kinase 1|bcr/c-abl oncogene protein|c-abl oncogene 1, receptor tyrosine kinase|proto-oncogene c-Abl|proto-oncogene tyrosine-protein kinase ABL1|truncated ABL protooncogene 1 nonreceptor tyrosine kinase|tyrosine-protein kinase|v-abl Abelson murine leukemia viral oncogene homolog 1",9q34.12,9,NC_000009.12,130713881,130887675,plus,12,189980
9606,Homo sapiens,3064,0,live,HTT,"HD, IT15, LOMARS",huntingtin,; huntingtin|huntington disease protein,4p16.3,4,NC_000004.12,3074681,3243960,plus,67,613004
9606,Homo sapiens,217,0,live,ALDH2,"ALDH-E2, ALDHI, ALDM",aldehyde dehydrogenase 2 family member,"; aldehyde dehydrogenase, mitochondrial|ALDH class 2|acetaldehyde dehydrogenase 2|aldehyde dehydrogenase 2 family (mitochondrial)|epididymis secretory sperm binding protein|liver mitochondrial ALDH|nucleus-encoded mitochondrial aldehyde dehydrogenase 2",12q24.12,12,NC_000012.12,111766933,111817532,plus,13,100650
9606,Homo sapiens,6352,0,live,CCL5,"D17S136E, RANTES, SCYA5, SIS-delta, SISd, TCP228, eoCP",C-C motif chemokine ligand 5,"; C-C motif chemokine 5|T-cell specific protein p288|beta-chemokine RANTES|chemokine (C-C motif) ligand 5|eosinophil chemotactic cytokine|regulated upon activation, normally T-expressed, and presumably secreted|small inducible cytokine subfamily A (Cys-Cys), member 5",17q12,17,NC_000017.11,35871491,35880360,minus,4,187011
9606,Homo sapiens,3953,0,live,LEPR,"CD295, LEP-RD, OB-R, OBR, LEPR",leptin receptor,; leptin receptor|OB receptor|huB219,1p31.3,1,NC_000001.11,65420652,65637493,plus,24,601007
9606,Homo sapiens,3481,0,live,IGF2,"C11orf43, GRDF, IGF-II, PP9974",insulin like growth factor 2,; insulin-like growth factor II|T3M-11-derived growth factor|insulin-like growth factor 2 (somatomedin A)|insulin-like growth factor type 2|preptin,11p15.5,11,NC_000011.10,2129112,2149603,minus,9,147470
9606,Homo sapiens,406947,0,live,MIR155,"MIRN155, miRNA155, mir-155",microRNA 155,hsa-mir-155,21q21.3,21,NC_000021.9,25573980,25574044,plus,1,609337
9606,Homo sapiens,10891,0,live,PPARGC1A,"LEM6, PGC-1(alpha), PGC-1alpha, PGC-1v, PGC1, PGC1A, PPARGC1",PPARG coactivator 1 alpha,; peroxisome proliferator-activated receptor gamma coactivator 1-alpha|L-PGC-1alpha|PGC-1-alpha|PPAR gamma coactivator variant form|PPARGC-1-alpha|PPARgamma coactivator 1alpha|ligand effect modulator-6|peroxisome proliferator-activated receptor gamma coactivator 1 alpha transcript variant B4-3ext|peroxisome proliferator-activated receptor gamma coactivator 1 alpha transcript variant B4-8a|peroxisome proliferator-activated receptor gamma coactivator 1 alpha transcript variant B5-NT,4p15.2,4,NC_000004.12,23792021,24472905,minus,24,604517
9606,Homo sapiens,3117,0,live,HLA-DQA1,"CELIAC1, DQ-A1, DQA1, HLA-DQA","major histocompatibility complex, class II, DQ alpha 1","; HLA class II histocompatibility antigen, DQ alpha 1 chain|DC-1 alpha chain|DC-alpha|HLA-DCA|MHC HLA-DQ alpha|MHC class II DQA1|MHC class II HLA-DQ-alpha-1|MHC class II antigen DQA1",6p21.32,6,NC_000006.12,32637406,32654846,plus,6,146880
9606,Homo sapiens,1555,0,live,CYP2B6,"CPB6, CYP2B, CYP2B7, CYP2B7P, CYPIIB6, EFVM, IIB1, P450",cytochrome P450 family 2 subfamily B member 6,"; cytochrome P450 2B6|1,4-cineole 2-exo-monooxygenase|cytochrome P450 IIB1|cytochrome P450, family 2, subfamily B, polypeptide 6|cytochrome P450, subfamily IIB (phenobarbital-inducible), polypeptide 6",19q13.2,19,NC_000019.10,40991282,41018398,plus,9,123930
9606,Homo sapiens,5789,0,live,PTPRD,"HPTP, HPTPD, HPTPDELTA, PTPD, RPTPDELTA",protein tyrosine phosphatase receptor type D,"; receptor-type tyrosine-protein phosphatase delta|R-PTP-delta|protein tyrosine phosphatase, receptor type, delta polypeptide|rceptor-type tyrosine-protein phosphatase delta",9p24.1-p23,9,NC_000009.12,8314246,10613002,minus,49,601598
9606,Homo sapiens,775,0,live,CACNA1C,"CACH2, CACN2, CACNL1A1, CCHL1A1, CaV1.2, LQT8, TS, TS. LQT8",calcium voltage-gated channel subunit alpha1 C,"; voltage-dependent L-type calcium channel subunit alpha-1C|DHPR, alpha-1 subunit|calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle|calcium channel, cardic dihydropyridine-sensitive, alpha-1 subunit|calcium channel, voltage-dependent, L type, alpha 1C subunit|voltage-dependent L-type Ca2+ channel alpha 1 subunit|voltage-gated L-type calcium channel Cav1.2 alpha 1 subunit, splice variant 10*",12p13.33,12,NC_000012.12,1969552,2697950,plus,56,114205
9606,Homo sapiens,4289,0,live,MKLN1,TWA2,muskelin 1,"; muskelin|muskelin 1, intracellular mediator containing kelch motifs",7q32.3,7,NC_000007.14,131110094,131496637,plus,22,605623
9606,Homo sapiens,4763,0,live,NF1,"NFNS, VRNF, WSS",neurofibromin 1,; neurofibromin|neurofibromatosis 1|neurofibromatosis-related protein NF-1|truncated neurofibromin 1,17q11.2,17,NC_000017.11,31094927,31377677,plus,58,613113
9606,Homo sapiens,7166,0,live,TPH1,"TPRH, TRPH",tryptophan hydroxylase 1,; tryptophan 5-hydroxylase 1|L-tryptophan hydroxylase|indoleacetic acid-5-hydroxylase|tryptophan 5-monooxygenase 1|tryptophan hydroxylase (tryptophan 5-monooxygenase),11p15.1,11,NC_000011.10,18017555,18046269,minus,11,191060
9606,Homo sapiens,3358,0,live,HTR2C,"5-HT1C, 5-HT2C, 5-HTR2C, 5HTR2C, HTR1C",5-hydroxytryptamine receptor 2C,"; 5-hydroxytryptamine receptor 2C|5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled|5-hydroxytryptamine receptor 1C|serotonin 5-HT-1C receptor|serotonin 5-HT-2C receptor",Xq23,X,NC_000023.11,114584078,114910061,plus,7,312861
9606,Homo sapiens,1191,0,live,CLU,"AAG4, APO-J, APOJ, CLI1, CLU2, KUB1, NA1/NA2, SGP-2, SGP2, SP-40, TRPM-2, TRPM2, CLU",clusterin,"; clusterin|aging-associated protein 4|apolipoprotein J|complement cytolysis inhibitor|complement lysis inhibitor|complement-associated protein SP-40,40|epididymis secretory sperm binding protein|ku70-binding protein 1|sulfated glycoprotein 2|testosterone-repressed prostate message 2",8p21.1,8,NC_000008.11,27596917,27615031,minus,11,185430
9606,Homo sapiens,5295,0,live,PIK3R1,"AGM7, GRB1, IMD36, p85, p85-ALPHA",phosphoinositide-3-kinase regulatory subunit 1,"; phosphatidylinositol 3-kinase regulatory subunit alpha|PI3-kinase subunit p85-alpha|PI3K regulatory subunit alpha|phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha|phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)|phosphatidylinositol 3-kinase-associated p-85 alpha|phosphoinositide-3-kinase regulatory subunit alpha|phosphoinositide-3-kinase, regulatory subunit 1 (alpha)|ptdIns-3-kinase regulatory subunit alpha",5q13.1,5,NC_000005.10,68215737,68301821,plus,22,171833
